cuenta_id,fecha,transaccion,monto,descripcion
104,2024/03/22,compra,1500,Compra en tienda
106,25-11-2024,compra,1000,Retiro parcial
101,2024/04/30,compra,2500,Ingreso navideño
103,2024-05-09,retiro,1000,Ingreso de fin de año
110,02-01-2024,compra,1500,Retiro parcial
110,2024/08/28,retiro,0,
107,23/08/2024,retiro,3000,
105,26-03-2024,pago,-500,
113,2024-07-27,retiro,-100,Ingreso mensual
104,11/03/2024,compra,3000,Ingreso extra
106,2024-06-22,retiro,0,Compra en tienda
105,2024-11-02,compra,2000,Ingreso mensual
112,14/07/2024,retiro,2000,Retiro parcial
118,22-02-2024,deposito,2500,Ingreso navideño
109,09-08-2024,deposito,0,Compra en tienda
107,2024-12-10,retiro,-100,Ingreso extra
113,22-10-2024,compra,1000,Retiro parcial
110,2024/04/22,retiro,1500,Ingreso mensual
116,13/05/2024,deposito,1000,Ingreso de fin de año
103,04/11/2024,retiro,-500,Ingreso extra
119,2024-06-18,retiro,-100,Ingreso mensual
106,2024/04/12,deposito,0,Ingreso de fin de año
109,2024-04-19,pago,2500,Ingreso navideño
119,19/02/2024,pago,3000,Retiro parcial
101,05/11/2024,compra,2000,
119,2024/06/08,retiro,2000,Retiro parcial
115,2024-03-28,retiro,2000,Compra en tienda
108,2024/01/24,compra,,Ingreso extra
110,09/11/2024,retiro,2000,Ingreso navideño
115,25-02-2024,deposito,2000,Compra en tienda
110,2024-04-10,compra,2000,Compra en tienda
103,22/10/2024,compra,1000,Ingreso mensual
111,25-08-2024,retiro,1500,Compra en tienda
103,2024/07/01,deposito,0,Ingreso de fin de año
108,07-09-2024,compra,-100,
107,12/07/2024,pago,0,Ingreso navideño
118,2024/03/03,retiro,1000,Retiro parcial
120,11/09/2024,deposito,1000,Compra en tienda
120,21-09-2024,compra,3000,Compra en tienda
107,2024-10-18,deposito,-500,Compra en tienda
108,2024/02/08,compra,0,Ingreso extra
114,2024-06-12,retiro,-100,Retiro parcial
116,2024-07-17,deposito,1000,Retiro parcial
111,2024-10-26,deposito,2500,Ingreso de fin de año
108,27/08/2024,compra,-100,Ingreso navideño
107,2024/06/10,deposito,-100,Ingreso navideño
113,04/11/2024,compra,0,Retiro parcial
110,2024/08/07,retiro,1500,Ingreso extra
116,2024-08-07,deposito,-1000,Retiro parcial
103,2024/04/14,deposito,0,Retiro parcial
105,04/01/2024,depósito,-100,Compra en tienda
113,2024-10-18,depósito,0,
107,2024-05-11,retiro,2000,Retiro parcial
108,10/02/2024,deposito,1000,Ingreso navideño
111,30/01/2024,compra,-500,Ingreso de fin de año
107,2024/08/09,depósito,3000,
112,2024/10/03,compra,3000,Compra en tienda
120,10/04/2024,compra,,Ingreso extra
101,09/05/2024,retiro,1500,Ingreso extra
114,2024-03-12,compra,1500,Ingreso navideño
108,2024/03/22,deposito,0,Compra en tienda
101,2024/02/07,compra,2500,
110,04/06/2024,compra,2500,
101,2024/06/28,pago,2000,
106,2024/01/15,retiro,2500,Compra en tienda
114,2024/02/23,retiro,-100,
117,15/04/2024,deposito,1500,
107,23/12/2024,deposito,0,Ingreso navideño
114,29/11/2024,pago,0,
118,10-07-2024,compra,1000,Ingreso extra
103,2024-06-29,compra,2000,Retiro parcial
112,2024-09-12,compra,1000,
101,28/04/2024,deposito,1000,Ingreso de fin de año
118,21/09/2024,compra,-100,Ingreso de fin de año
106,22-07-2024,compra,-500,Ingreso navideño
115,2024-07-05,deposito,-500,Compra en tienda
116,2024/04/11,retiro,1500,Retiro parcial
120,2024/06/09,compra,3000,Compra en tienda
101,2024-10-29,compra,2500,Ingreso navideño
119,20/04/2024,deposito,-100,
103,2024-05-13,deposito,3000,Retiro parcial
